noun,2016_rating_all,2016_std_all,2016_rating_m,2016_std_m,2016_rating_f,2016_std_f,kt_rating.f,kt_sd.f,kt_rating.m,kt_sd.m,kt_rating_all,kt_sd_all
bookkeeper,3.49,1.25,3.77,1.33,3.19,1.11,3.0,-1.08,3.05,-1.0,3.02,-1.04
boss,4.8,1.09,5.0,1.12,4.6,1.04,5.1,-1.17,5.5,-1.05,5.3,-1.11
boutiqueowner,2.56,1.13,2.73,1.25,2.38,0.99,2.0,-0.73,2.2,-1.15,2.1,-0.94
bowler,4.93,1.04,5.05,1.14,4.81,0.92,4.9,-0.97,4.9,-1.07,4.9,-1.02
boxer,5.92,1.05,5.82,1.21,6.02,0.87,6.4,-0.68,6.1,-0.85,6.25,-0.77
breadwinner,5.13,1.07,5.2,1.13,5.05,1.01,NA,NA,NA,NA,NA,NA
bride,1.48,1.21,1.8,1.55,1.14,0.52,1.0,0.0,1.0,0.0,1.0,0.0
buildingcontractor,5.71,1.12,5.5,1.21,5.93,0.97,5.9,-0.97,5.95,-0.76,5.93,-0.86
butcher,5.77,1.12,5.52,1.28,6.02,0.87,6.1,-0.91,5.95,-0.85,6.03,-0.88
butler,6.09,1.16,5.68,1.33,6.52,0.77,6.55,-0.69,6.8,-0.41,6.67,-0.55
caddy,5.43,1.06,5.18,1.08,5.69,0.98,5.9,-1.07,5.65,-1.14,5.78,-1.1
cakedecorator,2.51,1.23,2.7,1.39,2.31,1.02,2.65,-1.04,2.2,-0.95,2.42,-0.99
campcounselor,4.06,1.04,4.3,1.09,3.81,0.94,3.55,-1.05,4.3,-1.17,3.92,-1.11
camper,4.47,0.99,4.61,0.97,4.31,1.0,4.6,-0.82,5.35,-1.23,4.97,-1.02
candymaker,3.48,1.0,3.75,1.04,3.19,0.89,3.8,-0.52,3.8,-1.32,3.8,-0.92
cardplayer,4.94,1.04,4.93,0.9,4.95,1.19,4.8,-0.83,5.25,-1.07,5.03,-0.95
caregiver,2.73,1.18,3.02,1.28,2.43,0.99,2.74,-1.1,2.8,-1.01,2.77,-1.06
carpenter,5.56,1.2,5.41,1.37,5.71,0.99,6.3,-0.86,6.15,-0.81,6.22,-0.83
carracingfan,5.37,0.98,5.39,1.06,5.36,0.91,4.8,-1.47,5.15,-1.5,4.97,-1.48
carsalesman,5.7,1.14,5.52,1.34,5.88,0.86,6.2,-0.89,6.3,-0.92,6.25,-0.91
cartoonist,4.64,1.0,4.7,1.11,4.57,0.89,NA,NA,NA,NA,NA,NA
cashier,3.26,1.15,3.5,1.09,3.0,1.17,3.45,-0.6,3.65,-0.81,3.55,-0.71
caterer,3.43,1.01,3.64,0.94,3.21,1.05,3.85,-0.75,3.6,-1.05,3.73,-0.9
catowner,3.17,1.25,3.2,1.36,3.14,1.14,2.85,-1.14,2.75,-0.97,2.8,-1.05
celebrity,3.93,0.57,4.02,0.55,3.83,0.58,4.0,-0.32,3.65,-0.75,3.83,-0.54
ceo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
chairman,5.57,1.13,5.39,1.22,5.76,1.01,4.6,-0.68,4.85,-1.09,4.72,-0.89
chairperson,4.44,1.08,4.45,1.09,4.43,1.09,4.3,-0.66,4.5,-0.83,4.4,-0.74
cheerleader,1.73,1.16,1.89,1.32,1.57,0.97,1.65,-0.75,2.1,-1.12,1.88,-0.94
chef,4.81,1.05,4.86,1.07,4.76,1.03,4.55,-1.5,5.4,-1.23,4.97,-1.36
chick,1.53,1.18,1.91,1.52,1.14,0.35,1.35,-0.81,1.05,-0.22,1.2,-0.52
child,4.0,0.49,3.98,0.51,4.02,0.47,4.0,-0.46,4.1,-0.31,4.05,-0.39
childadvocate,3.09,1.2,3.36,1.24,2.81,1.11,2.5,-1.1,2.9,-1.45,2.7,-1.27
childcareworker,2.35,1.23,2.59,1.32,2.1,1.1,2.0,-0.86,2.25,-0.97,2.12,-0.92
chiropractor,4.83,0.92,4.86,0.95,4.79,0.9,4.8,-1.11,5.1,-1.25,4.95,-1.18
choreographer,3.37,1.13,3.34,1.18,3.4,1.08,3.1,-1.25,3.25,-1.25,3.17,-1.25
cleaner,3.33,1.15,3.34,1.18,3.31,1.14,2.95,-1.0,2.65,-1.14,2.8,-1.07
clerk,3.81,1.02,3.93,0.9,3.69,1.14,3.8,-0.7,3.75,-1.21,3.77,-0.95
client,4.02,0.65,4.14,0.67,3.9,0.62,4.15,-0.75,4.5,-1.28,4.33,-1.02
clinicalpsychologist,3.81,1.09,4.09,0.98,3.52,1.13,3.5,-1.28,4.05,-0.89,3.77,-1.08
clown,5.2,1.21,5.16,1.31,5.24,1.1,5.3,-1.17,5.2,-1.11,5.25,-1.14
coach,5.2,1.08,5.05,1.18,5.36,0.96,5.4,-1.05,5.95,-0.94,5.68,-0.99
coed,2.97,1.33,2.86,1.37,3.07,1.3,3.95,-0.22,3.7,-0.88,3.83,-0.55
colonel,5.92,1.08,5.68,1.18,6.17,0.91,6.2,-0.89,6.6,-0.6,6.4,-0.74
comedian,4.7,1.07,4.84,1.16,4.55,0.97,4.95,-0.83,5.35,-0.99,5.15,-0.91
companypresident,5.22,1.04,5.23,1.05,5.21,1.05,5.05,-1.0,5.45,-1.32,5.25,-1.16
composer,4.74,0.94,4.66,0.91,4.83,0.96,4.9,-0.97,5.3,-0.98,5.1,-0.97
